"FIPS","County","State","caShort"
"08001","Adams","Colorado","colorado"
"08003","Alamosa","Colorado","colorado"
"08005","Arapahoe","Colorado","colorado"
"08007","Archuleta","Colorado","colorado"
"08009","Baca","Colorado","colorado"
"08011","Bent","Colorado","colorado"
"08013","Boulder","Colorado","colorado"
"08014","Broomfield","Colorado","colorado"
"08015","Chaffee","Colorado","colorado"
"08017","Cheyenne","Colorado","colorado"
"08019","Clear Creek","Colorado","colorado"
"08021","Conejos","Colorado","colorado"
"08023","Costilla","Colorado","colorado"
"08025","Crowley","Colorado","colorado"
"08027","Custer","Colorado","colorado"
"08029","Delta","Colorado","colorado"
"08031","Denver","Colorado","colorado"
"08033","Dolores","Colorado","colorado"
"08035","Douglas","Colorado","colorado"
"08037","Eagle","Colorado","colorado"
"08039","Elbert","Colorado","colorado"
"08041","El Paso","Colorado","colorado"
"08043","Fremont","Colorado","colorado"
"08045","Garfield","Colorado","colorado"
"08047","Gilpin","Colorado","colorado"
"08049","Grand","Colorado","colorado"
"08051","Gunnison","Colorado","colorado"
"08053","Hinsdale","Colorado","colorado"
"08055","Huerfano","Colorado","colorado"
"08057","Jackson","Colorado","colorado"
"08059","Jefferson","Colorado","colorado"
"08061","Kiowa","Colorado","colorado"
"08063","Kit Carson","Colorado","colorado"
"08065","Lake","Colorado","colorado"
"08067","La Plata","Colorado","colorado"
"08069","Larimer","Colorado","colorado"
"08071","Las Animas","Colorado","colorado"
"08073","Lincoln","Colorado","colorado"
"08075","Logan","Colorado","colorado"
"08077","Mesa","Colorado","colorado"
"08079","Mineral","Colorado","colorado"
"08081","Moffat","Colorado","colorado"
"08083","Montezuma","Colorado","colorado"
"08085","Montrose","Colorado","colorado"
"08087","Morgan","Colorado","colorado"
"08089","Otero","Colorado","colorado"
"08091","Ouray","Colorado","colorado"
"08093","Park","Colorado","colorado"
"08095","Phillips","Colorado","colorado"
"08097","Pitkin","Colorado","colorado"
"08099","Prowers","Colorado","colorado"
"08101","Pueblo","Colorado","colorado"
"08103","Rio Blanco","Colorado","colorado"
"08105","Rio Grande","Colorado","colorado"
"08107","Routt","Colorado","colorado"
"08109","Saguache","Colorado","colorado"
"08111","San Juan","Colorado","colorado"
"08113","San Miguel","Colorado","colorado"
"08115","Sedgwick","Colorado","colorado"
"08117","Summit","Colorado","colorado"
"08119","Teller","Colorado","colorado"
"08121","Washington","Colorado","colorado"
"08123","Weld","Colorado","colorado"
"08125","Yuma","Colorado","colorado"
