"FIPS","County","State","caShort"
"26001","Alcona","Michigan","michigan"
"26003","Alger","Michigan","michigan"
"26005","Allegan","Michigan","michigan"
"26007","Alpena","Michigan","michigan"
"26009","Antrim","Michigan","michigan"
"26011","Arenac","Michigan","michigan"
"26013","Baraga","Michigan","michigan"
"26015","Barry","Michigan","michigan"
"26017","Bay","Michigan","michigan"
"26019","Benzie","Michigan","michigan"
"26021","Berrien","Michigan","michigan"
"26023","Branch","Michigan","michigan"
"26025","Calhoun","Michigan","michigan"
"26027","Cass","Michigan","michigan"
"26029","Charlevoix","Michigan","michigan"
"26031","Cheboygan","Michigan","michigan"
"26033","Chippewa","Michigan","michigan"
"26035","Clare","Michigan","michigan"
"26037","Clinton","Michigan","michigan"
"26039","Crawford","Michigan","michigan"
"26041","Delta","Michigan","michigan"
"26043","Dickinson","Michigan","michigan"
"26045","Eaton","Michigan","michigan"
"26047","Emmet","Michigan","michigan"
"26049","Genesee","Michigan","michigan"
"26051","Gladwin","Michigan","michigan"
"26053","Gogebic","Michigan","michigan"
"26055","Grand Traverse","Michigan","michigan"
"26057","Gratiot","Michigan","michigan"
"26059","Hillsdale","Michigan","michigan"
"26061","Houghton","Michigan","michigan"
"26063","Huron","Michigan","michigan"
"26065","Ingham","Michigan","michigan"
"26067","Ionia","Michigan","michigan"
"26069","Iosco","Michigan","michigan"
"26071","Iron","Michigan","michigan"
"26073","Isabella","Michigan","michigan"
"26075","Jackson","Michigan","michigan"
"26077","Kalamazoo","Michigan","michigan"
"26079","Kalkaska","Michigan","michigan"
"26081","Kent","Michigan","michigan"
"26083","Keweenaw","Michigan","michigan"
"26085","Lake","Michigan","michigan"
"26087","Lapeer","Michigan","michigan"
"26089","Leelanau","Michigan","michigan"
"26091","Lenawee","Michigan","michigan"
"26093","Livingston","Michigan","michigan"
"26095","Luce","Michigan","michigan"
"26097","Mackinac","Michigan","michigan"
"26099","Macomb","Michigan","michigan"
"26101","Manistee","Michigan","michigan"
"26103","Marquette","Michigan","michigan"
"26105","Mason","Michigan","michigan"
"26107","Mecosta","Michigan","michigan"
"26109","Menominee","Michigan","michigan"
"26111","Midland","Michigan","michigan"
"26113","Missaukee","Michigan","michigan"
"26115","Monroe","Michigan","michigan"
"26117","Montcalm","Michigan","michigan"
"26119","Montmorency","Michigan","michigan"
"26121","Muskegon","Michigan","michigan"
"26123","Newaygo","Michigan","michigan"
"26125","Oakland","Michigan","michigan"
"26127","Oceana","Michigan","michigan"
"26129","Ogemaw","Michigan","michigan"
"26131","Ontonagon","Michigan","michigan"
"26133","Osceola","Michigan","michigan"
"26135","Oscoda","Michigan","michigan"
"26137","Otsego","Michigan","michigan"
"26139","Ottawa","Michigan","michigan"
"26141","Presque Isle","Michigan","michigan"
"26143","Roscommon","Michigan","michigan"
"26145","Saginaw","Michigan","michigan"
"26147","St. Clair","Michigan","michigan"
"26149","St. Joseph","Michigan","michigan"
"26151","Sanilac","Michigan","michigan"
"26153","Schoolcraft","Michigan","michigan"
"26155","Shiawassee","Michigan","michigan"
"26157","Tuscola","Michigan","michigan"
"26159","Van Buren","Michigan","michigan"
"26161","Washtenaw","Michigan","michigan"
"26163","Wayne","Michigan","michigan"
"26165","Wexford","Michigan","michigan"
