"FIPS","County","State","caShort"
"53001","Adams","Washington","washington"
"53003","Asotin","Washington","washington"
"53005","Benton","Washington","washington"
"53007","Chelan","Washington","washington"
"53009","Clallam","Washington","washington"
"53011","Clark","Washington","washington"
"53013","Columbia","Washington","washington"
"53015","Cowlitz","Washington","washington"
"53017","Douglas","Washington","washington"
"53019","Ferry","Washington","washington"
"53021","Franklin","Washington","washington"
"53023","Garfield","Washington","washington"
"53025","Grant","Washington","washington"
"53027","Grays Harbor","Washington","washington"
"53029","Island","Washington","washington"
"53031","Jefferson","Washington","washington"
"53033","King","Washington","washington"
"53035","Kitsap","Washington","washington"
"53037","Kittitas","Washington","washington"
"53039","Klickitat","Washington","washington"
"53041","Lewis","Washington","washington"
"53043","Lincoln","Washington","washington"
"53045","Mason","Washington","washington"
"53047","Okanogan","Washington","washington"
"53049","Pacific","Washington","washington"
"53051","Pend Oreille","Washington","washington"
"53053","Pierce","Washington","washington"
"53055","San Juan","Washington","washington"
"53057","Skagit","Washington","washington"
"53059","Skamania","Washington","washington"
"53061","Snohomish","Washington","washington"
"53063","Spokane","Washington","washington"
"53065","Stevens","Washington","washington"
"53067","Thurston","Washington","washington"
"53069","Wahkiakum","Washington","washington"
"53071","Walla Walla","Washington","washington"
"53073","Whatcom","Washington","washington"
"53075","Whitman","Washington","washington"
"53077","Yakima","Washington","washington"
