"FIPS","County","State","caShort"
"20001","Allen","Kansas","kansas"
"20003","Anderson","Kansas","kansas"
"20005","Atchison","Kansas","kansas"
"20007","Barber","Kansas","kansas"
"20009","Barton","Kansas","kansas"
"20011","Bourbon","Kansas","kansas"
"20013","Brown","Kansas","kansas"
"20015","Butler","Kansas","kansas"
"20017","Chase","Kansas","kansas"
"20019","Chautauqua","Kansas","kansas"
"20021","Cherokee","Kansas","kansas"
"20023","Cheyenne","Kansas","kansas"
"20025","Clark","Kansas","kansas"
"20027","Clay","Kansas","kansas"
"20029","Cloud","Kansas","kansas"
"20031","Coffey","Kansas","kansas"
"20033","Comanche","Kansas","kansas"
"20035","Cowley","Kansas","kansas"
"20037","Crawford","Kansas","kansas"
"20039","Decatur","Kansas","kansas"
"20041","Dickinson","Kansas","kansas"
"20043","Doniphan","Kansas","kansas"
"20045","Douglas","Kansas","kansas"
"20047","Edwards","Kansas","kansas"
"20049","Elk","Kansas","kansas"
"20051","Ellis","Kansas","kansas"
"20053","Ellsworth","Kansas","kansas"
"20055","Finney","Kansas","kansas"
"20057","Ford","Kansas","kansas"
"20059","Franklin","Kansas","kansas"
"20061","Geary","Kansas","kansas"
"20063","Gove","Kansas","kansas"
"20065","Graham","Kansas","kansas"
"20067","Grant","Kansas","kansas"
"20069","Gray","Kansas","kansas"
"20071","Greeley","Kansas","kansas"
"20073","Greenwood","Kansas","kansas"
"20075","Hamilton","Kansas","kansas"
"20077","Harper","Kansas","kansas"
"20079","Harvey","Kansas","kansas"
"20081","Haskell","Kansas","kansas"
"20083","Hodgeman","Kansas","kansas"
"20085","Jackson","Kansas","kansas"
"20087","Jefferson","Kansas","kansas"
"20089","Jewell","Kansas","kansas"
"20091","Johnson","Kansas","kansas"
"20093","Kearny","Kansas","kansas"
"20095","Kingman","Kansas","kansas"
"20097","Kiowa","Kansas","kansas"
"20099","Labette","Kansas","kansas"
"20101","Lane","Kansas","kansas"
"20103","Leavenworth","Kansas","kansas"
"20105","Lincoln","Kansas","kansas"
"20107","Linn","Kansas","kansas"
"20109","Logan","Kansas","kansas"
"20111","Lyon","Kansas","kansas"
"20113","McPherson","Kansas","kansas"
"20115","Marion","Kansas","kansas"
"20117","Marshall","Kansas","kansas"
"20119","Meade","Kansas","kansas"
"20121","Miami","Kansas","kansas"
"20123","Mitchell","Kansas","kansas"
"20125","Montgomery","Kansas","kansas"
"20127","Morris","Kansas","kansas"
"20129","Morton","Kansas","kansas"
"20131","Nemaha","Kansas","kansas"
"20133","Neosho","Kansas","kansas"
"20135","Ness","Kansas","kansas"
"20137","Norton","Kansas","kansas"
"20139","Osage","Kansas","kansas"
"20141","Osborne","Kansas","kansas"
"20143","Ottawa","Kansas","kansas"
"20145","Pawnee","Kansas","kansas"
"20147","Phillips","Kansas","kansas"
"20149","Pottawatomie","Kansas","kansas"
"20151","Pratt","Kansas","kansas"
"20153","Rawlins","Kansas","kansas"
"20155","Reno","Kansas","kansas"
"20157","Republic","Kansas","kansas"
"20159","Rice","Kansas","kansas"
"20161","Riley","Kansas","kansas"
"20163","Rooks","Kansas","kansas"
"20165","Rush","Kansas","kansas"
"20167","Russell","Kansas","kansas"
"20169","Saline","Kansas","kansas"
"20171","Scott","Kansas","kansas"
"20173","Sedgwick","Kansas","kansas"
"20175","Seward","Kansas","kansas"
"20177","Shawnee","Kansas","kansas"
"20179","Sheridan","Kansas","kansas"
"20181","Sherman","Kansas","kansas"
"20183","Smith","Kansas","kansas"
"20185","Stafford","Kansas","kansas"
"20187","Stanton","Kansas","kansas"
"20189","Stevens","Kansas","kansas"
"20191","Sumner","Kansas","kansas"
"20193","Thomas","Kansas","kansas"
"20195","Trego","Kansas","kansas"
"20197","Wabaunsee","Kansas","kansas"
"20199","Wallace","Kansas","kansas"
"20201","Washington","Kansas","kansas"
"20203","Wichita","Kansas","kansas"
"20205","Wilson","Kansas","kansas"
"20207","Woodson","Kansas","kansas"
"20209","Wyandotte","Kansas","kansas"
"29003","Andrew","Missouri","kansas"
"29011","Barton","Missouri","kansas"
"29013","Bates","Missouri","kansas"
"29021","Buchanan","Missouri","kansas"
"29033","Carroll","Missouri","kansas"
"29037","Cass","Missouri","kansas"
"29047","Clay","Missouri","kansas"
"29049","Clinton","Missouri","kansas"
"29083","Henry","Missouri","kansas"
"29087","Holt","Missouri","kansas"
"29095","Jackson","Missouri","kansas"
"29097","Jasper","Missouri","kansas"
"29101","Johnson","Missouri","kansas"
"29107","Lafayette","Missouri","kansas"
"29147","Nodaway","Missouri","kansas"
"29165","Platte","Missouri","kansas"
"29177","Ray","Missouri","kansas"
"29217","Vernon","Missouri","kansas"
