"FIPS","County","State"
"21001","Adair","Kentucky"
"21003","Allen","Kentucky"
"21005","Anderson","Kentucky"
"21007","Ballard","Kentucky"
"21009","Barren","Kentucky"
"21011","Bath","Kentucky"
"21013","Bell","Kentucky"
"21015","Boone","Kentucky"
"21017","Bourbon","Kentucky"
"21019","Boyd","Kentucky"
"21021","Boyle","Kentucky"
"21023","Bracken","Kentucky"
"21025","Breathitt","Kentucky"
"21027","Breckinridge","Kentucky"
"21029","Bullitt","Kentucky"
"21031","Butler","Kentucky"
"21033","Caldwell","Kentucky"
"21035","Calloway","Kentucky"
"21037","Campbell","Kentucky"
"21039","Carlisle","Kentucky"
"21041","Carroll","Kentucky"
"21043","Carter","Kentucky"
"21045","Casey","Kentucky"
"21047","Christian","Kentucky"
"21049","Clark","Kentucky"
"21051","Clay","Kentucky"
"21053","Clinton","Kentucky"
"21055","Crittenden","Kentucky"
"21057","Cumberland","Kentucky"
"21059","Daviess","Kentucky"
"21061","Edmonson","Kentucky"
"21063","Elliott","Kentucky"
"21065","Estill","Kentucky"
"21067","Fayette","Kentucky"
"21069","Fleming","Kentucky"
"21071","Floyd","Kentucky"
"21073","Franklin","Kentucky"
"21075","Fulton","Kentucky"
"21077","Gallatin","Kentucky"
"21079","Garrard","Kentucky"
"21081","Grant","Kentucky"
"21083","Graves","Kentucky"
"21085","Grayson","Kentucky"
"21087","Green","Kentucky"
"21089","Greenup","Kentucky"
"21091","Hancock","Kentucky"
"21093","Hardin","Kentucky"
"21095","Harlan","Kentucky"
"21097","Harrison","Kentucky"
"21099","Hart","Kentucky"
"21101","Henderson","Kentucky"
"21103","Henry","Kentucky"
"21105","Hickman","Kentucky"
"21107","Hopkins","Kentucky"
"21109","Jackson","Kentucky"
"21111","Jefferson","Kentucky"
"21113","Jessamine","Kentucky"
"21115","Johnson","Kentucky"
"21117","Kenton","Kentucky"
"21119","Knott","Kentucky"
"21121","Knox","Kentucky"
"21123","Larue","Kentucky"
"21125","Laurel","Kentucky"
"21127","Lawrence","Kentucky"
"21129","Lee","Kentucky"
"21131","Leslie","Kentucky"
"21133","Letcher","Kentucky"
"21135","Lewis","Kentucky"
"21137","Lincoln","Kentucky"
"21139","Livingston","Kentucky"
"21141","Logan","Kentucky"
"21143","Lyon","Kentucky"
"21145","McCracken","Kentucky"
"21147","McCreary","Kentucky"
"21149","McLean","Kentucky"
"21151","Madison","Kentucky"
"21153","Magoffin","Kentucky"
"21155","Marion","Kentucky"
"21157","Marshall","Kentucky"
"21159","Martin","Kentucky"
"21161","Mason","Kentucky"
"21163","Meade","Kentucky"
"21165","Menifee","Kentucky"
"21167","Mercer","Kentucky"
"21169","Metcalfe","Kentucky"
"21171","Monroe","Kentucky"
"21173","Montgomery","Kentucky"
"21175","Morgan","Kentucky"
"21177","Muhlenberg","Kentucky"
"21179","Nelson","Kentucky"
"21181","Nicholas","Kentucky"
"21183","Ohio","Kentucky"
"21185","Oldham","Kentucky"
"21187","Owen","Kentucky"
"21189","Owsley","Kentucky"
"21191","Pendleton","Kentucky"
"21193","Perry","Kentucky"
"21195","Pike","Kentucky"
"21197","Powell","Kentucky"
"21199","Pulaski","Kentucky"
"21201","Robertson","Kentucky"
"21203","Rockcastle","Kentucky"
"21205","Rowan","Kentucky"
"21207","Russell","Kentucky"
"21209","Scott","Kentucky"
"21211","Shelby","Kentucky"
"21213","Simpson","Kentucky"
"21215","Spencer","Kentucky"
"21217","Taylor","Kentucky"
"21219","Todd","Kentucky"
"21221","Trigg","Kentucky"
"21223","Trimble","Kentucky"
"21225","Union","Kentucky"
"21227","Warren","Kentucky"
"21229","Washington","Kentucky"
"21231","Wayne","Kentucky"
"21233","Webster","Kentucky"
"21235","Whitley","Kentucky"
"21237","Wolfe","Kentucky"
"21239","Woodford","Kentucky"
